Epoch,copper-sweep-8,polished-sweep-7,logical-sweep-6,brisk-sweep-3,lucky-sweep-2
1,0.434,0.4637,0.4831,0.4153,0.4351
2,0.65,0.6159,0.5851,0.5705,0.5401
3,0.6554,0.6902,0.6569,0.6002,0.6132
4,0.7546,0.7619,0.7017,0.691,0.6741
5,0.7679,0.7825,0.7668,0.7066,0.7228
6,0.8155,0.8092,0.7901,0.7412,0.7598
7,0.8215,0.8193,0.7604,0.7639,0.7579
8,0.8084,0.8326,0.8251,0.7723,0.7936
9,0.846,0.8451,0.8166,0.7928,0.7965
10,0.8419,0.8301,0.8375,0.8174,0.825
11,0.854,0.8596,0.8538,0.8212,0.8274
12,0.8702,0.8624,0.8391,0.8088,0.8247
13,0.862,0.8355,0.8593,0.8462,0.8467
14,0.8562,0.8668,0.8457,0.8417,0.8471
15,0.8506,0.8743,0.8561,0.8401,0.8505
16,0.8829,0.8756,0.8525,0.8306,0.8439
17,0.8704,0.8739,0.8553,0.8461,0.8391
18,0.8705,0.8893,0.8558,0.8537,0.8579
19,0.8864,0.8716,0.8693,0.8663,0.8653
20,0.8881,0.8803,0.873,0.8631,0.8442
21,0.8635,0.8969,0.8763,0.858,0.8725
22,0.8832,0.899,0.8804,0.8562,0.8757
23,0.8884,0.8925,0.8619,0.8637,0.8599
24,0.8932,0.8895,0.8821,0.8741,0.8769
25,0.8982,0.8864,0.8882,0.8762,0.8774
