Name,State,lr,weight_decay,momentum,optimizer
frosty-sweep-18,finished,0.001,0.0,0.9,SGD
floral-sweep-17,finished,0.001,1e-05,0.9,SGD
spring-sweep-16,finished,0.001,0.0001,0.9,SGD
morning-sweep-14,finished,0.001,1e-05,0.7,SGD
helpful-sweep-13,finished,0.001,0.0001,0.7,SGD
sunny-sweep-12,finished,0.001,0.0,0.5,SGD
happy-sweep-11,finished,0.001,1e-05,0.5,SGD
silvery-sweep-10,finished,0.001,0.0001,0.5,SGD
zesty-sweep-9,finished,0.01,0.0,0.9,SGD
copper-sweep-8,finished,0.01,1e-05,0.9,SGD
polished-sweep-7,finished,0.01,0.0001,0.9,SGD
logical-sweep-6,finished,0.01,0.0,0.7,SGD
fearless-sweep-5,finished,0.01,1e-05,0.7,SGD
robust-sweep-4,finished,0.01,0.0001,0.7,SGD
brisk-sweep-3,finished,0.01,0.0,0.5,SGD
lucky-sweep-2,finished,0.01,1e-05,0.5,SGD
giddy-sweep-1,finished,0.01,0.0001,0.5,SGD
